Movie_name,Release_year,Movie_rating,Movie_genre,Metascore,Movie_runtime,Director of movie
Wrong Turn,(2021),5.4,"Horror, Thriller",46,109 min,Mike P. Nelson
Willy's Wonderland,(2021),5.6,"Action, Comedy, Horror",42,88 min,Kevin Lewis
Red Dot,(2021),5.4,"Drama, Horror, Thriller",NA,86 min,Alain Darborg
Saint Maud,(2019),6.8,"Drama, Horror, Mystery",83,84 min,Rose Glass
Freaky,(2020),6.3,"Comedy, Horror, Thriller",66,102 min,Christopher Landon
Doctor Strange in the Multiverse of Madness,(2022),,"Action, Adventure, Fantasy",NA,,Sam Raimi
Midsommar,(2019),7.1,"Drama, Horror, Mystery",72,148 min,Ari Aster
Fear of Rain,(2021),5.9,"Drama, Horror, Thriller",NA,109 min,Castille Landon
The Little Stranger,(2018),5.5,"Drama, Horror, Mystery",67,111 min,Lenny Abrahamson
Army of the Dead,(2021),,"Action, Crime, Horror",NA,,Zack Snyder
Get Out,(I) (2017),7.7,"Horror, Mystery, Thriller",85,104 min,Jordan Peele
Synchronic,(2019),6.2,"Drama, Horror, Sci-Fi",63,102 min,Justin Benson
The Rental,(2020),5.7,"Drama, Horror, Mystery",62,88 min,Dave Franco
Shadow in the Cloud,(2020),4.8,"Action, Horror, War",66,83 min,Roseanne Liang
Don't Worry Darling,,,"Horror, Thriller",NA,,Olivia Wilde
Venom: Let There Be Carnage,(2021),,"Action, Horror, Sci-Fi",NA,,Andy Serkis
The Shining,(1980),8.4,"Drama, Horror",66,146 min,Stanley Kubrick
The VVitch: A New-England Folktale,(2015),6.9,"Drama, Horror, Mystery",83,92 min,Robert Eggers
Split,(IX) (2016),7.3,"Horror, Thriller",62,117 min,M. Night Shyamalan
Hereditary,(2018),7.3,"Drama, Horror, Mystery",87,127 min,Ari Aster
Wrong Turn,(I) (2003),6.1,"Horror, Thriller",32,84 min,Rob Schmidt
Antebellum,(2020),5.7,"Drama, Horror, Mystery",45,105 min,Gerard Bush
Possessor,(2020),6.5,"Horror, Sci-Fi, Thriller",72,103 min,Brandon Cronenberg
The New Mutants,(2020),5.3,"Action, Horror, Sci-Fi",43,94 min,Josh Boone
Doctor Sleep,(2019),7.3,"Drama, Fantasy, Horror",59,152 min,Mike Flanagan
The Invisible Man,(I) (2020),7.1,"Drama, Horror, Mystery",72,124 min,Leigh Whannell
The Meg,(2018),5.6,"Action, Horror, Sci-Fi",46,113 min,Jon Turteltaub
Alien,(1979),8.4,"Horror, Sci-Fi",89,117 min,Ridley Scott
The Lighthouse,(I) (2019),7.5,"Drama, Fantasy, Horror",83,109 min,Robert Eggers
Scream,(2022),,"Horror, Mystery, Thriller",NA,,Matt Bettinelli-Olpin
Run,(I) (2020),6.7,"Horror, Mystery, Thriller",67,90 min,Aneesh Chaganty
Porno,(2019),5.1,"Comedy, Horror",49,98 min,Keola Racela
The Hunt,(II) (2020),6.5,"Action, Horror, Thriller",50,90 min,Craig Zobel
Becky,(II) (2020),5.8,"Action, Crime, Drama",54,93 min,Jonathan Milott
It,(I) (2017),7.3,Horror,69,135 min,Andy Muschietti
Dark Water,(2005),5.6,"Drama, Horror, Mystery",52,105 min,Walter Salles
A Quiet Place Part II,(2020),,"Drama, Horror, Sci-Fi",NA,97 min,John Krasinski
A Quiet Place,(2018),7.5,"Drama, Horror, Sci-Fi",82,90 min,John Krasinski
The Witches,(2020),5.3,"Adventure, Comedy, Family",47,106 min,Robert Zemeckis
Resident Evil,(2021),,"Action, Horror, Mystery",NA,,Johannes Roberts
Us,(II) (2019),6.8,"Horror, Mystery, Thriller",81,116 min,Jordan Peele
Psycho Goreman,(2020),6.2,"Comedy, Horror, Sci-Fi",69,95 min,Steven Kostanski
The Empty Man,(2020),5.7,"Crime, Drama, Horror",NA,137 min,David Prior
From Dusk Till Dawn,(1996),7.2,"Action, Crime, Horror",48,108 min,Robert Rodriguez
The Platform,(2019),7.0,"Horror, Sci-Fi, Thriller",73,94 min,Galder Gaztelu-Urrutia
The Conjuring: The Devil Made Me Do It,(2021),,"Horror, Mystery, Thriller",NA,,Michael Chaves
Underwater,(2020),5.8,"Action, Horror, Sci-Fi",48,95 min,William Eubank
My Bloody Valentine,(2009),5.4,"Horror, Mystery, Thriller",51,101 min,Patrick Lussier
Sputnik,(2020),6.4,"Drama, Horror, Sci-Fi",61,113 min,Egor Abramenko
My Bloody Valentine,(1981),6.3,"Horror, Mystery, Thriller",46,90 min,George Mihalka
The Killing of a Sacred Deer,(2017),7.0,"Drama, Horror, Mystery",73,121 min,Yorgos Lanthimos
The Lie,(2018),5.8,"Crime, Drama, Horror",45,97 min,Veena Sud
Shaun of the Dead,(2004),7.9,"Comedy, Horror",76,99 min,Edgar Wright
Alien: Covenant,(2017),6.4,"Horror, Sci-Fi, Thriller",65,122 min,Ridley Scott
Vivarium,(2019),5.8,"Comedy, Horror, Mystery",64,97 min,Lorcan Finnegan
Spiral,(2021),,"Crime, Horror, Mystery",NA,,Darren Lynn Bousman
It Chapter Two,(2019),6.5,"Drama, Fantasy, Horror",58,169 min,Andy Muschietti
Psycho,(1960),8.5,"Horror, Mystery, Thriller",97,109 min,Alfred Hitchcock
Host,(II) (2020),6.6,"Horror, Mystery",73,57 min,Rob Savage
Morbius,(2022),,"Action, Adventure, Drama",NA,,Daniel Espinosa
Annihilation,(2018),6.8,"Adventure, Drama, Horror",79,115 min,Alex Garland
The Conjuring,(2013),7.5,"Horror, Mystery, Thriller",68,112 min,James Wan
No Escape,(2020),5.4,"Adventure, Horror, Mystery",NA,91 min,Will Wernick
The Thing,(1982),8.1,"Horror, Mystery, Sci-Fi",57,109 min,John Carpenter
I See You,(II) (2019),6.8,"Crime, Drama, Horror",65,98 min,Adam Randall
Bird Box,(2018),6.6,"Horror, Sci-Fi",51,124 min,Susanne Bier
The Cabin in the Woods,(2011),7.0,Horror,72,95 min,Drew Goddard
His House,(2020),6.5,"Drama, Horror, Thriller",72,93 min,Remi Weekes
Shook,(2021),4.1,Horror,53,88 min,Jennifer Harrington
Train to Busan,(2016),7.6,"Action, Horror, Thriller",72,118 min,Sang-ho Yeon
Hellboy,(2019),5.2,"Action, Adventure, Fantasy",31,120 min,Neil Marshall
The Dead Don't Die,(2019),5.5,"Comedy, Fantasy, Horror",53,104 min,Jim Jarmusch
Suspiria,(I) (2018),6.8,"Fantasy, Horror, Mystery",64,152 min,Luca Guadagnino
Tremors,(1990),7.1,"Comedy, Horror",65,96 min,Ron Underwood
Bram Stoker's Dracula,(1992),7.4,Horror,57,128 min,Francis Ford Coppola
Zombieland: Double Tap,(2019),6.7,"Action, Adventure, Comedy",55,99 min,Ruben Fleischer
Dawn of the Dead,(2004),7.3,"Action, Horror",59,101 min,Zack Snyder
World War Z,(2013),7.0,"Action, Adventure, Horror",63,116 min,Marc Forster
The Reckoning,(2020),4.6,"Action, Drama, History",36,110 min,Neil Marshall
Ready or Not,(I) (2019),6.8,"Action, Comedy, Horror",64,95 min,Matt Bettinelli-Olpin
The Endless,(I) (2017),6.5,"Drama, Fantasy, Horror",80,111 min,Justin Benson
The Invisible Man,(1933),7.7,"Horror, Sci-Fi",87,71 min,James Whale
Scream,(1996),7.3,"Horror, Mystery",65,111 min,Wes Craven
Fantasy Island,(2020),4.9,"Action, Adventure, Fantasy",22,109 min,Jeff Wadlow
Constantine,(2005),7.0,"Action, Fantasy, Horror",50,121 min,Francis Lawrence
"As Above, So Below",(2014),6.2,"Horror, Mystery, Thriller",38,93 min,John Erick Dowdle
Color Out of Space,(2019),6.2,"Horror, Mystery, Sci-Fi",70,111 min,Richard Stanley
Irreversible,(2002),7.4,"Crime, Drama, Horror",51,97 min,Gaspar Noé
Saw,(2004),7.6,"Horror, Mystery, Thriller",46,103 min,James Wan
Orphan,(2009),7.0,"Horror, Mystery, Thriller",42,123 min,Jaume Collet-Serra
The Wraith,(1986),6.0,"Action, Horror, Romance",39,93 min,Mike Marvin
The Call,(2020),7.1,"Crime, Horror, Mystery",NA,112 min,Chung-Hyun Lee
Resident Evil,(2002),6.7,"Action, Horror, Sci-Fi",33,100 min,Paul W.S. Anderson
Last Night in Soho,(2021),,"Drama, Horror, Thriller",NA,,Edgar Wright
"Salò, or the 120 Days of Sodom",(1975),5.9,"Drama, Horror",NA,117 min,Pier Paolo Pasolini
Escape Room,(I) (2019),6.4,"Action, Adventure, Horror",48,99 min,Adam Robitel
The Lodge,(2019),6.1,"Drama, Horror, Thriller",64,108 min,Severin Fiala
The Others,(2001),7.6,"Horror, Mystery, Thriller",74,104 min,Alejandro Amenábar
A Serbian Film,(2010),5.0,"Horror, Mystery, Thriller",NA,104 min,Srdjan Spasojevic
You're Next,(2011),6.6,"Action, Crime, Horror",66,95 min,Adam Wingard
Legion,(2010),5.3,"Action, Fantasy, Horror",32,100 min,Scott Stewart
Jennifer's Body,(2009),5.2,"Comedy, Horror",47,102 min,Karyn Kusama
The Girl Next Door,(2007),6.6,"Crime, Drama, Horror",29,91 min,Gregory Wilson
Mother!,(2017),6.6,"Drama, Horror, Mystery",75,121 min,Darren Aronofsky
School's Out Forever,(2021),5.4,"Comedy, Drama, Horror",NA,105 min,Oliver Milburn
Cloverfield,(2008),7.0,"Action, Horror, Sci-Fi",64,85 min,Matt Reeves
The Lost Boys,(1987),7.3,"Comedy, Horror",63,97 min,Joel Schumacher
Martyrs,(2008),7.1,Horror,NA,99 min,Pascal Laugier
10 Cloverfield Lane,(2016),7.2,"Action, Drama, Horror",76,103 min,Dan Trachtenberg
Shin Godzilla,(2016),6.8,"Action, Adventure, Drama",67,120 min,Hideaki Anno
Halloween Kills,(2021),,"Horror, Thriller",NA,,David Gordon Green
The Love Witch,(2016),6.2,"Comedy, Horror, Romance",82,120 min,Anna Biller
The Exorcist--The Version You've Never Seen Before,(1973),8.0,Horror,81,122 min,William Friedkin
Valentine,(2001),4.9,"Horror, Mystery, Thriller",18,96 min,Jamie Blanks
Gerald's Game,(2017),6.5,"Drama, Horror, Thriller",77,103 min,Mike Flanagan
Dracula Untold,(2014),6.3,"Action, Drama, Fantasy",40,92 min,Gary Shore
The Neon Demon,(2016),6.2,"Horror, Thriller",51,117 min,Nicolas Winding Refn
The Dark Tower,(2017),5.6,"Action, Adventure, Fantasy",34,95 min,Nikolaj Arcel
Sator,(2019),5.1,Horror,82,85 min,Jordan Graham
Climax,(I) (2018),7.0,"Drama, Horror, Music",67,97 min,Gaspar Noé
I Spit on Your Grave,(2010),6.3,"Horror, Thriller",27,108 min,Steven R. Monroe
The Craft: Legacy,(2020),4.4,"Drama, Fantasy, Horror",54,97 min,Zoe Lister-Jones
The House That Jack Built,(2018),6.8,"Crime, Drama, Horror",42,152 min,Lars von Trier
Gretel & Hansel,(2020),5.4,"Fantasy, Horror, Mystery",64,87 min,Oz Perkins
Manhunter,(1986),7.2,"Crime, Horror, Mystery",75,120 min,Michael Mann
Overlord,(2018),6.6,"Action, Adventure, Horror",60,110 min,Julius Avery
Blade,(1998),7.1,"Action, Horror, Sci-Fi",45,120 min,Stephen Norrington
28 Days Later...,(2002),7.6,"Drama, Horror, Sci-Fi",73,113 min,Danny Boyle
What We Do in the Shadows,(2014),7.7,"Comedy, Horror",76,86 min,Jemaine Clement
Carrie,(1976),7.4,Horror,85,98 min,Brian De Palma
Don't Breathe,(2016),7.1,"Crime, Horror, Thriller",71,88 min,Fede Alvarez
Come Play,(2020),5.7,"Drama, Horror, Mystery",58,96 min,Jacob Chase
Hostel,(2005),5.9,Horror,55,94 min,Eli Roth
Brightburn,(2019),6.1,"Drama, Horror, Mystery",44,90 min,David Yarovesky
Bloody Hell,(2020),6.6,"Action, Horror, Mystery",52,93 min,Alister Grierson
The Dark and the Wicked,(2020),6.1,Horror,72,95 min,Bryan Bertino
The Green Knight,(2021),,"Drama, Fantasy, Horror",NA,125 min,David Lowery
Rosemary's Baby,(1968),8.0,"Drama, Horror",96,137 min,Roman Polanski
The Ring,(2002),7.1,"Horror, Mystery",57,115 min,Gore Verbinski
Pride and Prejudice and Zombies,(2016),5.8,"Action, Comedy, Fantasy",45,108 min,Burr Steers
They Live,(1988),7.3,"Action, Horror, Sci-Fi",55,94 min,John Carpenter
Maximum Overdrive,(1986),5.5,"Action, Comedy, Horror",24,98 min,Stephen King
The Babysitter: Killer Queen,(2020),5.8,"Comedy, Horror",22,101 min,McG
It Follows,(2014),6.8,"Horror, Mystery, Thriller",83,100 min,David Robert Mitchell
The Mist,(2007),7.1,"Horror, Sci-Fi, Thriller",58,126 min,Frank Darabont
Sleepy Hollow,(1999),7.3,"Fantasy, Horror, Mystery",65,105 min,Tim Burton
Gremlins,(1984),7.3,"Comedy, Fantasy, Horror",70,106 min,Joe Dante
Bone Tomahawk,(2015),7.1,"Drama, Horror, Western",72,132 min,S. Craig Zahler
Under the Skin,(I) (2013),6.3,"Drama, Horror, Sci-Fi",80,108 min,Jonathan Glazer
A Nightmare on Elm Street,(1984),7.5,Horror,76,91 min,Wes Craven
Train to Busan Presents: Peninsula,(2020),5.5,"Action, Horror, Thriller",51,116 min,Sang-ho Yeon
Coherence,(2013),7.2,"Drama, Horror, Mystery",65,89 min,James Ward Byrkit
Hellraiser,(1987),7.0,"Horror, Thriller",57,94 min,Clive Barker
Death of Me,(2020),4.4,"Horror, Mystery, Thriller",31,94 min,Darren Lynn Bousman
The Blair Witch Project,(1999),6.5,"Horror, Mystery",81,81 min,Daniel Myrick
Vampire Academy,(2014),5.5,"Action, Comedy, Drama",31,104 min,Mark Waters
Zombieland,(2009),7.6,"Adventure, Comedy, Fantasy",73,88 min,Ruben Fleischer
Insidious,(I) (2010),6.8,"Horror, Mystery, Thriller",52,103 min,James Wan
The Babysitter,(I) (2017),6.3,"Comedy, Horror",NA,85 min,McG
The Hills Have Eyes,(2006),6.4,"Action, Adventure, Horror",52,107 min,Alexandre Aja
Event Horizon,(1997),6.7,"Horror, Sci-Fi, Thriller",35,96 min,Paul W.S. Anderson
A Cure for Wellness,(2016),6.4,"Drama, Fantasy, Horror",47,146 min,Gore Verbinski
Anything for Jackson,(2020),6.4,Horror,NA,97 min,Justin G. Dyck
Life,(I) (2017),6.6,"Horror, Sci-Fi, Thriller",54,104 min,Daniel Espinosa
Interview With the Vampire: The Vampire Chronicles,(1994),7.5,"Drama, Horror",59,123 min,Neil Jordan
Alien³,(1992),6.5,"Action, Horror, Sci-Fi",59,114 min,David Fincher
Relic,(2020),6.0,"Drama, Horror, Mystery",77,89 min,Natalie Erika James
Attack on Titan Part 1,(2015),5.0,"Action, Adventure, Drama",NA,98 min,Shinji Higuchi
The Fly,(1986),7.6,"Drama, Horror, Sci-Fi",79,96 min,David Cronenberg
Sinister,(I) (2012),6.8,"Horror, Mystery, Thriller",53,110 min,Scott Derrickson
Villains,(I) (2019),6.2,"Comedy, Drama, Horror",63,90 min,Dan Berk
The Visit,(I) (2015),6.2,"Horror, Mystery, Thriller",55,94 min,M. Night Shyamalan
Crimson Peak,(2015),6.5,"Drama, Fantasy, Horror",66,119 min,Guillermo del Toro
Halloween,(1978),7.7,"Horror, Thriller",87,91 min,John Carpenter
Butchers,(2020),4.4,Horror,NA,92 min,Adrian Langley
Alien Resurrection,(1997),6.2,"Action, Horror, Sci-Fi",63,109 min,Jean-Pierre Jeunet
Case 39,(2009),6.2,"Horror, Mystery, Thriller",25,109 min,Christian Alvart
The Mummy: Tomb of The Dragon Emperor,(2008),5.2,"Action, Adventure, Fantasy",31,112 min,Rob Cohen
Bad Samaritan,(2018),6.5,"Crime, Horror, Thriller",42,110 min,Dean Devlin
The Mortal Instruments: City of Bones,(2013),5.9,"Action, Adventure, Fantasy",33,130 min,Harald Zwart
The Nun,(2018),5.3,"Horror, Mystery, Thriller",46,96 min,Corin Hardy
The Mortuary Collection,(2019),6.5,"Fantasy, Horror",67,108 min,Ryan Spindell
Cannibal Holocaust,(1980),5.9,"Adventure, Horror",22,95 min,Ruggero Deodato
Tusk,(I) (2014),5.3,"Comedy, Drama, Horror",55,102 min,Kevin Smith
Antichrist,(2009),6.6,"Drama, Horror, Thriller",49,108 min,Lars von Trier
Candyman,(2021),,"Horror, Thriller",NA,,Nia DaCosta
La Llorona,(2019),6.6,"Crime, Drama, Horror",79,97 min,Jayro Bustamante
The Conjuring 2,(2016),7.3,"Horror, Mystery, Thriller",65,134 min,James Wan
Evil Dead,(1981),7.5,Horror,71,85 min,Sam Raimi
Only Lovers Left Alive,(2013),7.3,"Comedy, Drama, Fantasy",79,123 min,Jim Jarmusch
Carrie,(2013),5.9,"Drama, Horror",53,100 min,Kimberly Peirce
Dark Shadows,(2012),6.2,"Comedy, Fantasy, Horror",55,113 min,Tim Burton
Hunter Hunter,(2020),6.4,"Horror, Thriller",61,93 min,Shawn Linden
The Ritual,(I) (2017),6.3,"Horror, Mystery, Thriller",57,94 min,David Bruckner
Friday the 13th,(2009),5.5,"Horror, Mystery, Thriller",34,97 min,Marcus Nispel
The Descent,(2005),7.2,"Adventure, Horror, Thriller",71,99 min,Neil Marshall
Assassination Nation,(2018),5.9,"Action, Comedy, Crime",56,108 min,Sam Levinson
The Vigil,(2019),5.6,"Horror, Mystery, Thriller",67,89 min,Keith Thomas
The Wolf of Snow Hollow,(2020),6.2,"Comedy, Horror, Thriller",67,83 min,Jim Cummings
I Know What You Did Last Summer,(1997),5.7,"Horror, Mystery",52,101 min,Jim Gillespie
Death Note,(I) (2017),4.5,"Action, Crime, Drama",43,101 min,Adam Wingard
The Green Inferno,(2013),5.3,"Adventure, Horror",38,100 min,Eli Roth
The Faculty,(1998),6.5,"Horror, Sci-Fi",61,104 min,Robert Rodriguez
Prisoners of the Ghostland,(2021),6.3,"Action, Horror, Thriller",54,100 min,Sion Sono
An American Werewolf in London,(1981),7.5,"Comedy, Horror",55,97 min,John Landis
Random Acts of Violence,(2019),5.2,"Drama, Horror, Thriller",39,80 min,Jay Baruchel
Death Becomes Her,(1992),6.6,"Comedy, Fantasy, Horror",56,104 min,Robert Zemeckis
Angel Heart,(1987),7.3,"Horror, Mystery, Thriller",61,113 min,Alan Parker
Monsters of Man,(2020),5.3,"Action, Horror, Sci-Fi",NA,131 min,Mark Toia
Apostle,(2018),6.3,"Drama, Fantasy, Horror",62,130 min,Gareth Evans
I Saw the Devil,(2010),7.8,"Action, Crime, Drama",67,144 min,Jee-woon Kim
Hush,(I) (2016),6.6,"Horror, Thriller",67,82 min,Mike Flanagan
Crawl,(I) (2019),6.1,"Action, Horror, Thriller",60,87 min,Alexandre Aja
Sweeney Todd: The Demon Barber of Fleet Street,(2007),7.3,"Drama, Horror, Musical",83,116 min,Tim Burton
Cold Skin,(2017),6.0,"Action, Adventure, Fantasy",NA,108 min,Xavier Gens
Jaws 2,(1978),5.8,"Adventure, Horror, Thriller",51,116 min,Jeannot Szwarc
#Alive,(2020),6.2,"Action, Drama, Horror",NA,98 min,Il Cho
Final Destination,(2000),6.7,"Horror, Thriller",36,98 min,James Wong
Slaughterhouse Rulez,(2018),5.3,"Action, Comedy, Fantasy",39,104 min,Crispian Mills
Black Box,(II) (2020),6.2,"Horror, Mystery, Sci-Fi",62,100 min,Emmanuel Osei-Kuffour
Resident Evil: The Final Chapter,(2016),5.5,"Action, Horror, Sci-Fi",49,107 min,Paul W.S. Anderson
Blade: Trinity,(2004),5.9,"Action, Adventure, Fantasy",38,113 min,David S. Goyer
My Friend Dahmer,(2017),6.2,"Biography, Drama, Horror",68,107 min,Marc Meyers
Annabelle Comes Home,(2019),5.9,"Horror, Mystery, Thriller",53,106 min,Gary Dauberman
Eraserhead,(1977),7.4,"Fantasy, Horror",87,89 min,David Lynch
The Call,(II) (2013),6.7,"Crime, Drama, Horror",51,94 min,Brad Anderson
Silent Hill,(2006),6.5,"Action, Adventure, Fantasy",31,125 min,Christophe Gans
The Craft,(1996),6.4,"Drama, Fantasy, Horror",55,101 min,Andrew Fleming
Alien vs. Predator,(2004),5.6,"Action, Adventure, Horror",29,101 min,Paul W.S. Anderson
The Addams Family,(2019),5.8,"Animation, Comedy, Family",46,86 min,Greg Tiernan
The Purge,(I) (2013),5.7,"Horror, Sci-Fi, Thriller",41,85 min,James DeMonaco
Rogue,(I) (2020),3.9,"Action, Horror, Thriller",NA,105 min,M.J. Bassett
The Birds,(1963),7.7,"Drama, Horror, Mystery",90,119 min,Alfred Hitchcock
Jacob's Ladder,(I) (1990),7.5,"Drama, Horror, Mystery",62,113 min,Adrian Lyne
Antlers,(2021),,"Horror, Mystery",NA,99 min,Scott Cooper
Revenge,(II) (2017),6.4,"Action, Horror, Thriller",81,108 min,Coralie Fargeat
The Babadook,(2014),6.8,"Drama, Horror, Mystery",86,94 min,Jennifer Kent
Blade II,(2002),6.7,"Action, Fantasy, Horror",52,117 min,Guillermo del Toro
Don't Listen,(2020),6.1,"Drama, Horror, Mystery",NA,97 min,Ángel Gómez Hernández
The Skin I Live In,(2011),7.6,"Drama, Horror, Thriller",70,120 min,Pedro Almodóvar
The Silence,(II) (2019),5.3,"Drama, Horror, Sci-Fi",25,90 min,John R. Leonetti
Scouts Guide to the Zombie Apocalypse,(2015),6.3,"Action, Comedy, Horror",32,93 min,Christopher Landon
It Comes at Night,(2017),6.2,"Horror, Mystery, Sci-Fi",78,91 min,Trey Edward Shults
Jeepers Creepers,(2001),6.2,"Horror, Mystery",49,90 min,Victor Salva
Hellboy,(2004),6.8,"Action, Fantasy, Horror",72,122 min,Guillermo del Toro
High Life,(2018),5.8,"Adventure, Drama, Horror",77,113 min,Claire Denis
King Kong,(1976),5.9,"Adventure, Horror",61,134 min,John Guillermin
Happy Death Day,(2017),6.6,"Comedy, Horror, Mystery",58,96 min,Christopher Landon
